15
mem   0:    5	   2	   4	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   1:    1	   3	   1	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   2:    8	   2	   1	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   3:    2	   2	   8	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   4:    1	   3	   2	   3	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   5:    4	   2	   2	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   6:    5	   0	  10	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	
mem   7:    5	   2	   3	   6	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   8:    7	   0	   8	  11	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   9:    7	   3	   3	   3	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  10:   10	   0	   2	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  11:    6	   3	   2	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  12:    8	   0	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  13:    2	   3	   1	   7	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  14:    7	   1	   6	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  15:    5	   0	   7	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  16:    8	   2	   0	  14	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  17:    2	   3	   4	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  18:    0	  13	   3	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  19:    2	   6	   4	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  20:    0	  13	   0	   7	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  21:    2	   7	   3	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  22:    0	  12	   0	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  23:    0	   5	   2	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  24:    0	   5	  14	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  25:    2	   7	   5	   3	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  26:    0	   1	   1	   6	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
