15
mem   0:    3	   2	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   1:    4	   6	   2	   7	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   2:    4	   4	   0	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   3:    5	   2	  11	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   4:    1	   4	   0	   3	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   5:    6	   2	   1	   6	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   6:    4	   0	  10	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	
mem   7:    5	   3	   3	   6	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   8:    3	   0	   5	   7	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem   9:    6	   5	   3	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  10:    1	   0	   3	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  11:    4	   2	   1	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  12:    4	   0	  10	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  13:    8	   2	   3	   3	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  14:    9	   3	   9	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  15:   13	   2	   8	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  16:    9	   0	   0	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  17:    4	   2	   5	  10	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  18:    0	  10	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  19:    0	   6	   1	   3	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  20:    0	   9	   0	   3	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  21:    4	   4	   4	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  22:    0	   9	   0	  12	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  23:    2	  13	   2	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  24:    1	   2	   7	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  25:    0	   3	   3	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
mem  26:    0	   5	   5	   8	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	
